state,zipcode,airtel_share_apr,jio_share_apr,idea_share_apr,vodafone_share_apr,airtel_share_may,jio_share_may,idea_share_may,vodafone_share_may,airtel_growth,jio_growth,idea_growth,vodafone_growth
TAMIL NADU,642125,,,,,,,,,,,,
TAMIL NADU,642127,,,,,,,,,,,,
TAMIL NADU,642128,,,,,,,,,,,,
TAMIL NADU,642129,,,,,,,,,,,,
TAMIL NADU,642133,,,,,,,,,,,,
TAMIL NADU,642134,,,,,,,,,,,,
TAMIL NADU,642153,,,,,,,,,,,,
TAMIL NADU,642201,,,,,,,,,,,,
TAMIL NADU,642202,,,,,,,,,,,,
TAMIL NADU,642204,,,,,,,,,,,,
TAMIL NADU,642205,,,,,13%,38%,22%,27%,,,,
TAMIL NADU,642206,,,,,,,,,,,,
TAMIL NADU,642207,,,,,,,,,,,,
TAMIL NADU,643002,8%,89%,1%,3%,,,,,,,,
TAMIL NADU,643003,,,,,,,,,,,,
TAMIL NADU,643005,,,,,,,,,,,,
TAMIL NADU,643007,,,,,,,,,,,,
TAMIL NADU,643101,,,,,,,,,,,,
TAMIL NADU,643103,14%,71%,4%,11%,,,,,,,,
TAMIL NADU,643104,,,,,,,,,,,,
TAMIL NADU,643105,,,,,,,,,,,,
TAMIL NADU,643201,,,,,,,,,,,,
TAMIL NADU,643202,15%,82%,1%,3%,,,,,,,,
TAMIL NADU,643203,,,,,,,,,,,,
TAMIL NADU,643204,,,,,,,,,,,,
TAMIL NADU,643206,,,,,15%,50%,20%,15%,,,,
TAMIL NADU,643209,,,,,,,,,,,,
TAMIL NADU,643211,,,,,,,,,,,,
TAMIL NADU,643213,,,,,,,,,,,,
TAMIL NADU,643214,,,,,,,,,,,,
TAMIL NADU,643215,,,,,,,,,,,,
TAMIL NADU,643217,,,,,28%,60%,0%,12%,,,,
TAMIL NADU,643218,,,,,,,,,,,,
TAMIL NADU,643219,,,,,,,,,,,,
TAMIL NADU,643220,17%,33%,17%,33%,,,,,,,,
TAMIL NADU,643221,,,,,,,,,,,,
TAMIL NADU,643223,24%,59%,3%,14%,,,,,,,,
TAMIL NADU,643224,0%,99%,0%,0%,,,,,,,,
TAMIL NADU,643226,,,,,,,,,,,,
TAMIL NADU,643232,14%,57%,14%,14%,,,,,,,,
TAMIL NADU,643234,,,,,,,,,,,,
TAMIL NADU,643236,,,,,,,,,,,,
TAMIL NADU,643237,7%,71%,7%,14%,,,,,,,,
TAMIL NADU,643239,,,,,,,,,,,,
TAMIL NADU,643240,,,,,,,,,,,,
TAMIL NADU,643241,17%,25%,42%,17%,,,,,,,,
TAMIL NADU,643243,9%,64%,9%,18%,,,,,,,,
TAMIL NADU,643271,,,,,,,,,,,,
TELANGANA,431711,,,,,,,,,,,,
TELANGANA,431718,,,,,,,,,,,,
TELANGANA,431723,,,,,,,,,,,,
TELANGANA,431731,,,,,,,,,,,,
TELANGANA,431741,,,,,,,,,,,,
TELANGANA,431801,,,,,,,,,,,,
TELANGANA,431803,,,,,,,,,,,,
TELANGANA,431805,,,,,,,,,,,,
TELANGANA,431807,,,,,,,,,,,,
TELANGANA,442504,,,,,,,,,,,,
TELANGANA,442505,,,,,,,,,,,,
TELANGANA,442702,,,,,,,,,,,,
TELANGANA,442705,,,,,,,,,,,,
TELANGANA,442908,,,,,,,,,,,,
TELANGANA,445302,,,,,,,,,,,,
TELANGANA,445305,,,,,,,,,,,,
TELANGANA,500006,11%,78%,9%,1%,,,,,,,,
TELANGANA,500007,,,,,25%,53%,22%,0%,,,,
TELANGANA,500019,,,,,,,,,,,,
TELANGANA,500020,23%,61%,16%,0%,,,,,,,,
TELANGANA,500021,,,,,,,,,,,,
TELANGANA,500023,,,,,16%,61%,22%,0%,,,,
TELANGANA,500031,23%,62%,12%,4%,,,,,,,,
TELANGANA,500041,,,,,,,,,,,,
TELANGANA,500042,,,,,,,,,,,,
TELANGANA,500046,,,,,44%,40%,15%,1%,,,,
TELANGANA,500048,29%,59%,11%,1%,,,,,,,,
TELANGANA,500049,,,,,,,,,,,,
TELANGANA,500051,,,,,33%,50%,15%,3%,,,,
TELANGANA,500052,,,,,20%,68%,11%,1%,,,,
TELANGANA,500053,,,,,10%,83%,7%,0%,,,,
TELANGANA,500056,,,,,25%,63%,11%,0%,,,,
TELANGANA,500057,31%,38%,25%,6%,,,,,,,,
TELANGANA,500065,,,,,,,,,,,,
TELANGANA,500066,,,,,,,,,,,,
TELANGANA,500067,30%,57%,10%,3%,,,,,,,,
TELANGANA,500069,,,,,,,,,,,,
TELANGANA,500074,33%,54%,12%,1%,,,,,,,,
TELANGANA,500076,,,,,,,,,,,,
TELANGANA,500086,,,,,,,,,,,,
TELANGANA,500087,33%,50%,14%,3%,,,,,,,,
TELANGANA,500088,,,,,,,,,,,,
TELANGANA,500096,,,,,,,,,,,,
TELANGANA,500097,,,,,,,,,,,,
TELANGANA,500098,,,,,30%,52%,14%,5%,,,,
TELANGANA,500264,,,,,,,,,,,,
TELANGANA,500323,,,,,,,,,,,,
TELANGANA,501101,11%,86%,3%,0%,,,,,,,,
TELANGANA,501106,,,,,,,,,,,,
TELANGANA,501111,,,,,,,,,,,,
TELANGANA,501121,,,,,,,,,,,,
TELANGANA,501142,,,,,,,,,,,,
TELANGANA,501143,,,,,5%,93%,1%,1%,,,,
TELANGANA,501144,,,,,,,,,,,,
TELANGANA,501158,,,,,,,,,,,,
TELANGANA,501201,,,,,,,,,,,,
TELANGANA,501202,,,,,,,,,,,,
TELANGANA,501323,,,,,,,,,,,,
TELANGANA,501501,,,,,,,,,,,,
TELANGANA,501502,,,,,,,,,,,,
TELANGANA,501503,35%,51%,14%,1%,,,,,,,,
TELANGANA,501505,21%,69%,10%,0%,,,,,,,,
TELANGANA,501506,,,,,11%,79%,10%,0%,,,,
TELANGANA,501508,,,,,,,,,,,,
TELANGANA,501509,,,,,,,,,,,,
TELANGANA,501510,18%,76%,5%,0%,,,,,,,,
TELANGANA,501511,,,,,,,,,,,,
TELANGANA,501512,,,,,26%,60%,13%,1%,,,,
TELANGANA,502001,5%,91%,2%,1%,,,,,,,,
TELANGANA,502101,,,,,,,,,,,,
TELANGANA,502102,,,,,2%,90%,8%,0%,,,,
TELANGANA,502103,,,,,12%,82%,6%,0%,,,,
TELANGANA,502107,,,,,,,,,,,,
TELANGANA,502108,,,,,,,,,,,,
TELANGANA,502109,,,,,,,,,,,,
TELANGANA,502110,14%,70%,14%,1%,,,,,,,,
TELANGANA,502113,57%,24%,14%,5%,,,,,,,,
TELANGANA,502114,,,,,,,,,,,,
TELANGANA,502115,,,,,,,,,,,,
TELANGANA,502117,,,,,,,,,,,,
TELANGANA,502125,,,,,,,,,,,,
TELANGANA,502130,,,,,,,,,,,,
TELANGANA,502210,,,,,,,,,,,,
TELANGANA,502220,42%,54%,4%,0%,,,,,,,,
TELANGANA,502221,,,,,33%,52%,10%,5%,,,,
TELANGANA,502228,,,,,,,,,,,,
TELANGANA,502246,,,,,,,,,,,,
TELANGANA,502247,,,,,,,,,,,,
TELANGANA,502249,,,,,,,,,,,,
TELANGANA,502251,,,,,,,,,,,,
TELANGANA,502255,,,,,,,,,,,,
TELANGANA,502256,,,,,,,,,,,,
TELANGANA,502257,,,,,,,,,,,,
TELANGANA,502267,,,,,,,,,,,,
TELANGANA,502269,,,,,,,,,,,,
TELANGANA,502270,,,,,,,,,,,,
TELANGANA,502271,,,,,,,,,,,,
TELANGANA,502273,,,,,,,,,,,,
TELANGANA,502277,,,,,,,,,,,,
TELANGANA,502278,,,,,,,,,,,,
TELANGANA,502279,,,,,,,,,,,,
TELANGANA,502280,,,,,,,,,,,,
TELANGANA,502281,,,,,,,,,,,,
TELANGANA,502285,,,,,,,,,,,,
TELANGANA,502286,11%,74%,14%,0%,,,,,,,,
TELANGANA,502287,,,,,,,,,,,,
TELANGANA,502290,,,,,,,,,,,,
TELANGANA,502293,,,,,,,,,,,,
TELANGANA,502294,,,,,,,,,,,,
TELANGANA,502295,,,,,35%,51%,14%,1%,,,,
TELANGANA,502296,,,,,,,,,,,,
TELANGANA,502300,,,,,,,,,,,,
TELANGANA,502301,,,,,39%,30%,26%,4%,,,,
TELANGANA,502302,,,,,,,,,,,,
TELANGANA,502303,,,,,,,,,,,,
TELANGANA,502304,,,,,,,,,,,,
TELANGANA,502306,,,,,,,,,,,,
TELANGANA,502310,,,,,,,,,,,,
TELANGANA,502311,,,,,,,,,,,,
TELANGANA,502312,,,,,,,,,,,,
TELANGANA,502313,23%,51%,24%,1%,,,,,,,,
TELANGANA,502314,,,,,,,,,,,,
TELANGANA,502316,,,,,,,,,,,,
TELANGANA,502319,34%,44%,22%,1%,,,,,,,,
TELANGANA,502321,,,,,,,,,,,,
TELANGANA,502329,,,,,29%,55%,15%,1%,,,,
TELANGANA,502331,,,,,,,,,,,,
TELANGANA,502334,15%,69%,14%,2%,,,,,,,,
TELANGANA,502336,,,,,,,,,,,,
TELANGANA,502345,,,,,,,,,,,,
TELANGANA,502371,,,,,,,,,,,,
TELANGANA,502372,,,,,,,,,,,,
TELANGANA,502375,,,,,,,,,,,,
TELANGANA,502381,,,,,20%,52%,24%,4%,,,,
TELANGANA,503001,,,,,,,,,,,,
TELANGANA,503002,,,,,,,,,,,,
TELANGANA,503101,,,,,,,,,,,,
TELANGANA,503102,,,,,,,,,,,,
TELANGANA,503108,,,,,,,,,,,,
TELANGANA,503110,,,,,,,,,,,,
TELANGANA,503111,,,,,,,,,,,,
TELANGANA,503114,,,,,,,,,,,,
TELANGANA,503120,,,,,,,,,,,,
TELANGANA,503122,,,,,,,,,,,,
TELANGANA,503123,,,,,,,,,,,,
TELANGANA,503124,,,,,,,,,,,,
TELANGANA,503125,,,,,,,,,,,,
TELANGANA,503144,,,,,,,,,,,,
TELANGANA,503145,,,,,,,,,,,,
TELANGANA,503164,,,,,,,,,,,,
TELANGANA,503165,,,,,,,,,,,,
TELANGANA,503175,,,,,,,,,,,,
TELANGANA,503180,,,,,,,,,,,,
TELANGANA,503185,2%,95%,2%,0%,,,,,,,,
TELANGANA,503186,,,,,,,,,,,,
TELANGANA,503187,,,,,,,,,,,,
TELANGANA,503188,,,,,,,,,,,,
TELANGANA,503201,,,,,,,,,,,,
TELANGANA,503202,,,,,,,,,,,,
TELANGANA,503206,,,,,,,,,,,,
TELANGANA,503207,,,,,6%,68%,24%,3%,,,,
TELANGANA,503212,,,,,,,,,,,,
TELANGANA,503213,,,,,,,,,,,,
TELANGANA,503217,,,,,,,,,,,,
TELANGANA,503218,,,,,,,,,,,,
TELANGANA,503219,,,,,,,,,,,,
TELANGANA,503224,,,,,6%,61%,32%,0%,,,,
TELANGANA,503225,,,,,,,,,,,,
TELANGANA,503230,,,,,,,,,,,,
TELANGANA,503235,,,,,,,,,,,,
TELANGANA,503245,,,,,26%,56%,17%,2%,,,,
TELANGANA,503246,,,,,74%,22%,3%,0%,,,,
TELANGANA,503301,,,,,,,,,,,,
TELANGANA,503302,,,,,,,,,,,,
TELANGANA,503305,,,,,,,,,,,,
TELANGANA,503306,,,,,,,,,,,,
TELANGANA,503307,,,,,,,,,,,,
TELANGANA,503308,4%,49%,43%,4%,,,,,,,,
TELANGANA,503309,,,,,,,,,,,,
TELANGANA,503310,,,,,,,,,,,,
TELANGANA,503311,,,,,,,,,,,,
TELANGANA,503321,,,,,,,,,,,,
TELANGANA,504001,,,,,3%,86%,11%,0%,,,,
TELANGANA,504101,50%,43%,7%,1%,,,,,,,,
TELANGANA,504102,,,,,59%,8%,22%,11%,,,,
TELANGANA,504103,,,,,,,,,,,,
TELANGANA,504104,,,,,,,,,,,,
TELANGANA,504105,,,,,,,,,,,,
TELANGANA,504106,,,,,,,,,,,,
TELANGANA,504109,,,,,,,,,,,,
TELANGANA,504110,,,,,,,,,,,,
TELANGANA,504201,,,,,,,,,,,,
TELANGANA,504202,,,,,,,,,,,,
TELANGANA,504203,,,,,,,,,,,,
TELANGANA,504204,,,,,,,,,,,,
TELANGANA,504205,,,,,,,,,,,,
TELANGANA,504206,,,,,,,,,,,,
TELANGANA,504207,,,,,,,,,,,,
TELANGANA,504209,,,,,,,,,,,,
TELANGANA,504214,,,,,,,,,,,,
TELANGANA,504215,,,,,,,,,,,,
TELANGANA,504216,41%,56%,3%,0%,,,,,,,,
TELANGANA,504218,,,,,,,,,,,,
TELANGANA,504219,,,,,,,,,,,,
TELANGANA,504220,,,,,,,,,,,,
TELANGANA,504231,,,,,20%,71%,9%,0%,,,,
TELANGANA,504251,,,,,,,,,,,,
TELANGANA,504272,,,,,13%,80%,5%,2%,,,,
TELANGANA,504273,,,,,,,,,,,,
TELANGANA,504292,,,,,,,,,,,,
TELANGANA,504293,,,,,,,,,,,,
TELANGANA,504294,,,,,,,,,,,,
TELANGANA,504295,,,,,,,,,,,,
TELANGANA,504296,,,,,13%,83%,4%,1%,,,,
TELANGANA,504299,,,,,,,,,,,,
TELANGANA,504301,,,,,,,,,,,,
TELANGANA,504302,,,,,,,,,,,,
TELANGANA,504303,,,,,,,,,,,,
TELANGANA,504304,,,,,,,,,,,,
TELANGANA,504306,,,,,,,,,,,,
TELANGANA,504307,,,,,,,,,,,,
TELANGANA,504308,,,,,32%,62%,6%,1%,,,,
TELANGANA,504309,,,,,10%,60%,27%,3%,,,,
TELANGANA,504310,,,,,,,,,,,,
TELANGANA,504311,,,,,,,,,,,,
TELANGANA,504312,,,,,,,,,,,,
TELANGANA,504313,,,,,,,,,,,,
TELANGANA,504323,,,,,,,,,,,,
TELANGANA,504346,,,,,,,,,,,,
TELANGANA,505101,,,,,,,,,,,,
TELANGANA,505102,,,,,81%,16%,2%,1%,,,,
TELANGANA,505122,,,,,,,,,,,,
TELANGANA,505129,,,,,,,,,,,,
TELANGANA,505152,,,,,,,,,,,,
TELANGANA,505153,,,,,,,,,,,,
TELANGANA,505162,,,,,,,,,,,,
TELANGANA,505172,,,,,,,,,,,,
TELANGANA,505174,,,,,,,,,,,,
TELANGANA,505184,,,,,,,,,,,,
TELANGANA,505185,,,,,,,,,,,,
TELANGANA,505186,,,,,,,,,,,,
TELANGANA,505188,,,,,,,,,,,,
TELANGANA,505208,,,,,12%,83%,5%,0%,,,,
TELANGANA,505210,,,,,,,,,,,,
TELANGANA,505212,40%,42%,17%,1%,,,,,,,,
TELANGANA,505215,,,,,,,,,,,,
TELANGANA,505301,,,,,24%,65%,10%,1%,,,,
TELANGANA,505302,,,,,26%,56%,18%,0%,,,,
TELANGANA,505303,,,,,,,,,,,,
TELANGANA,505304,,,,,20%,78%,2%,1%,,,,
TELANGANA,505305,,,,,,,,,,,,
TELANGANA,505306,48%,33%,14%,5%,,,,,,,,
TELANGANA,505307,,,,,,,,,,,,
TELANGANA,505325,,,,,,,,,,,,
TELANGANA,505327,,,,,23%,72%,5%,0%,,,,
TELANGANA,505330,,,,,,,,,,,,
TELANGANA,505331,,,,,,,,,,,,
TELANGANA,505401,,,,,,,,,,,,
TELANGANA,505402,,,,,,,,,,,,
TELANGANA,505403,,,,,,,,,,,,
TELANGANA,505404,31%,21%,48%,0%,,,,,,,,
TELANGANA,505405,,,,,,,,,,,,
TELANGANA,505415,,,,,,,,,,,,
TELANGANA,505416,,,,,,,,,,,,
TELANGANA,505425,,,,,,,,,,,,
TELANGANA,505445,,,,,,,,,,,,
TELANGANA,505450,,,,,,,,,,,,
TELANGANA,505451,54%,33%,10%,3%,,,,,,,,
TELANGANA,505452,,,,,3%,8%,89%,1%,,,,
TELANGANA,505453,,,,,,,,,,,,
TELANGANA,505454,,,,,,,,,,,,
TELANGANA,505455,,,,,27%,50%,21%,2%,,,,
TELANGANA,505460,,,,,,,,,,,,
TELANGANA,505466,,,,,,,,,,,,
TELANGANA,505468,4%,91%,3%,1%,,,,,,,,
TELANGANA,505469,,,,,49%,46%,4%,1%,,,,
TELANGANA,505470,,,,,,,,,,,,
TELANGANA,505471,,,,,,,,,,,,
TELANGANA,505472,,,,,,,,,,,,
TELANGANA,505473,,,,,,,,,,,,
TELANGANA,505474,,,,,,,,,,,,
TELANGANA,505475,,,,,,,,,,,,
TELANGANA,505476,,,,,,,,,,,,
TELANGANA,505480,,,,,,,,,,,,
TELANGANA,505481,,,,,,,,,,,,
TELANGANA,505490,,,,,,,,,,,,
TELANGANA,505497,,,,,,,,,,,,
TELANGANA,505498,,,,,,,,,,,,
TELANGANA,505501,,,,,,,,,,,,
TELANGANA,505502,,,,,,,,,,,,
TELANGANA,505503,,,,,28%,62%,9%,1%,,,,
TELANGANA,505504,,,,,,,,,,,,
TELANGANA,505505,,,,,,,,,,,,
TELANGANA,505514,,,,,,,,,,,,
TELANGANA,505524,,,,,,,,,,,,
TELANGANA,505525,,,,,,,,,,,,
TELANGANA,505526,,,,,,,,,,,,
TELANGANA,505527,,,,,,,,,,,,
TELANGANA,505528,,,,,24%,44%,28%,4%,,,,
TELANGANA,505529,,,,,,,,,,,,
TELANGANA,505530,,,,,,,,,,,,
TELANGANA,505531,,,,,,,,,,,,
TELANGANA,505532,,,,,,,,,,,,
TELANGANA,506001,54%,40%,6%,0%,,,,,,,,
TELANGANA,506003,,,,,13%,69%,18%,0%,,,,
TELANGANA,506004,,,,,,,,,,,,
TELANGANA,506005,,,,,,,,,,,,
TELANGANA,506006,,,,,21%,66%,12%,1%,,,,
TELANGANA,506007,,,,,,,,,,,,
TELANGANA,506008,,,,,,,,,,,,
TELANGANA,506013,,,,,,,,,,,,
TELANGANA,506015,,,,,,,,,,,,
TELANGANA,506104,,,,,,,,,,,,
TELANGANA,506105,,,,,,,,,,,,
TELANGANA,506112,,,,,29%,55%,15%,1%,,,,
TELANGANA,506122,,,,,,,,,,,,
TELANGANA,506134,,,,,,,,,,,,
TELANGANA,506135,,,,,,,,,,,,
TELANGANA,506142,,,,,,,,,,,,
TELANGANA,506143,,,,,30%,61%,8%,1%,,,,
TELANGANA,506144,,,,,,,,,,,,
TELANGANA,506145,,,,,,,,,,,,
TELANGANA,506151,,,,,,,,,,,,
TELANGANA,506163,,,,,,,,,,,,
TELANGANA,506164,,,,,,,,,,,,
TELANGANA,506165,,,,,,,,,,,,
TELANGANA,506166,,,,,,,,,,,,
TELANGANA,506167,11%,84%,5%,0%,,,,,,,,
TELANGANA,506168,,,,,,,,,,,,
TELANGANA,506169,,,,,16%,70%,14%,0%,,,,
TELANGANA,506172,,,,,,,,,,,,
TELANGANA,506201,,,,,,,,,,,,
TELANGANA,506221,,,,,,,,,,,,
TELANGANA,506222,,,,,,,,,,,,
TELANGANA,506223,,,,,,,,,,,,
TELANGANA,506224,,,,,,,,,,,,
TELANGANA,506244,,,,,,,,,,,,
TELANGANA,506252,,,,,,,,,,,,
TELANGANA,506301,49%,43%,7%,1%,,,,,,,,
TELANGANA,506302,,,,,,,,,,,,
TELANGANA,506303,,,,,,,,,,,,
TELANGANA,506310,,,,,,,,,,,,
TELANGANA,506313,,,,,,,,,,,,
TELANGANA,506314,,,,,,,,,,,,
TELANGANA,506315,,,,,,,,,,,,
TELANGANA,506316,,,,,,,,,,,,
TELANGANA,506317,,,,,,,,,,,,
TELANGANA,506318,,,,,,,,,,,,
TELANGANA,506319,,,,,,,,,,,,
TELANGANA,506324,,,,,,,,,,,,
TELANGANA,506330,,,,,,,,,,,,
TELANGANA,506331,,,,,40%,51%,8%,1%,,,,
TELANGANA,506332,,,,,,,,,,,,
TELANGANA,506342,,,,,,,,,,,,
TELANGANA,506343,,,,,12%,74%,12%,2%,,,,
TELANGANA,506344,,,,,,,,,,,,
TELANGANA,506345,,,,,,,,,,,,
TELANGANA,506347,,,,,,,,,,,,
TELANGANA,506348,,,,,,,,,,,,
TELANGANA,506349,,,,,,,,,,,,
TELANGANA,506352,,,,,,,,,,,,
TELANGANA,506355,,,,,,,,,,,,
TELANGANA,506356,,,,,,,,,,,,
TELANGANA,506366,,,,,,,,,,,,
TELANGANA,506367,,,,,,,,,,,,
TELANGANA,506368,,,,,,,,,,,,
TELANGANA,506369,,,,,,,,,,,,
TELANGANA,506371,,,,,,,,,,,,
TELANGANA,506381,,,,,,,,,,,,
TELANGANA,506391,,,,,,,,,,,,
TELANGANA,507001,,,,,,,,,,,,
TELANGANA,507002,,,,,,,,,,,,
TELANGANA,507003,21%,61%,18%,0%,,,,,,,,
TELANGANA,507103,,,,,,,,,,,,
TELANGANA,507111,,,,,10%,86%,4%,0%,,,,
TELANGANA,507114,,,,,,,,,,,,
TELANGANA,507115,,,,,,,,,,,,
TELANGANA,507116,,,,,,,,,,,,
TELANGANA,507118,,,,,,,,,,,,
TELANGANA,507119,,,,,,,,,,,,
TELANGANA,507120,,,,,,,,,,,,
TELANGANA,507121,,,,,,,,,,,,
TELANGANA,507122,37%,44%,17%,2%,,,,,,,,
TELANGANA,507123,43%,43%,14%,0%,,,,,,,,
TELANGANA,507124,,,,,,,,,,,,
TELANGANA,507126,,,,,,,,,,,,
TELANGANA,507128,27%,57%,15%,1%,,,,,,,,
TELANGANA,507129,,,,,,,,,,,,
TELANGANA,507133,,,,,44%,5%,44%,7%,,,,
TELANGANA,507134,,,,,,,,,,,,
TELANGANA,507135,,,,,,,,,,,,
TELANGANA,507136,,,,,,,,,,,,
TELANGANA,507137,,,,,,,,,,,,
TELANGANA,507140,,,,,,,,,,,,
TELANGANA,507157,,,,,,,,,,,,
TELANGANA,507158,15%,64%,20%,1%,,,,,,,,
TELANGANA,507159,,,,,,,,,,,,
TELANGANA,507160,,,,,,,,,,,,
TELANGANA,507161,,,,,,,,,,,,
TELANGANA,507163,,,,,,,,,,,,
TELANGANA,507164,,,,,17%,62%,20%,1%,,,,
TELANGANA,507165,24%,54%,22%,1%,,,,,,,,
TELANGANA,507166,54%,14%,31%,1%,,,,,,,,
TELANGANA,507167,,,,,,,,,,,,
TELANGANA,507168,,,,,,,,,,,,
TELANGANA,507169,24%,35%,35%,6%,,,,,,,,
TELANGANA,507170,,,,,,,,,,,,
TELANGANA,507182,,,,,,,,,,,,
TELANGANA,507183,,,,,,,,,,,,
TELANGANA,507201,,,,,,,,,,,,
TELANGANA,507202,,,,,,,,,,,,
TELANGANA,507203,,,,,,,,,,,,
TELANGANA,507204,,,,,,,,,,,,
TELANGANA,507208,,,,,,,,,,,,
TELANGANA,507209,,,,,,,,,,,,
TELANGANA,507211,,,,,,,,,,,,
TELANGANA,507302,,,,,,,,,,,,
TELANGANA,507303,,,,,,,,,,,,
TELANGANA,507304,,,,,,,,,,,,
TELANGANA,507305,,,,,,,,,,,,
TELANGANA,507306,,,,,21%,56%,21%,2%,,,,
TELANGANA,507316,,,,,,,,,,,,
TELANGANA,507318,,,,,,,,,,,,
TELANGANA,508004,,,,,,,,,,,,
TELANGANA,508101,,,,,39%,43%,17%,1%,,,,
TELANGANA,508105,,,,,,,,,,,,
TELANGANA,508111,,,,,12%,35%,51%,2%,,,,
TELANGANA,508112,9%,28%,62%,1%,,,,,,,,
TELANGANA,508113,16%,54%,28%,1%,,,,,,,,
TELANGANA,508114,,,,,,,,,,,,
TELANGANA,508116,,,,,20%,62%,17%,0%,,,,
TELANGANA,508126,,,,,22%,53%,25%,1%,,,,
TELANGANA,508201,,,,,,,,,,,,
TELANGANA,508202,,,,,,,,,,,,
TELANGANA,508203,,,,,,,,,,,,
TELANGANA,508204,,,,,,,,,,,,
TELANGANA,508205,,,,,21%,61%,13%,5%,,,,
TELANGANA,508206,,,,,18%,75%,7%,0%,,,,
TELANGANA,508210,,,,,,,,,,,,
TELANGANA,508211,,,,,18%,48%,31%,3%,,,,
TELANGANA,508212,6%,76%,15%,3%,,,,,,,,
TELANGANA,508213,,,,,7%,87%,6%,0%,,,,
TELANGANA,508217,,,,,,,,,,,,
TELANGANA,508221,,,,,,,,,,,,
TELANGANA,508222,,,,,,,,,,,,
TELANGANA,508223,,,,,,,,,,,,
TELANGANA,508233,,,,,,,,,,,,
TELANGANA,508234,,,,,,,,,,,,
TELANGANA,508238,,,,,,,,,,,,
TELANGANA,508243,,,,,,,,,,,,
TELANGANA,508244,,,,,,,,,,,,
TELANGANA,508245,,,,,,,,,,,,
TELANGANA,508246,,,,,,,,,,,,
TELANGANA,508247,,,,,,,,,,,,
TELANGANA,508248,,,,,,,,,,,,
TELANGANA,508250,,,,,,,,,,,,
TELANGANA,508252,,,,,,,,,,,,
TELANGANA,508253,,,,,,,,,,,,
TELANGANA,508255,,,,,,,,,,,,
TELANGANA,508256,,,,,,,,,,,,
TELANGANA,508257,,,,,,,,,,,,
TELANGANA,508258,,,,,,,,,,,,
TELANGANA,508266,13%,64%,21%,2%,,,,,,,,
TELANGANA,508277,,,,,,,,,,,,
TELANGANA,508278,,,,,,,,,,,,
TELANGANA,508279,,,,,,,,,,,,
TELANGANA,508280,,,,,,,,,,,,
TELANGANA,508284,15%,28%,55%,1%,,,,,,,,
TELANGANA,508285,,,,,,,,,,,,
TELANGANA,508286,,,,,,,,,,,,
TELANGANA,508355,,,,,,,,,,,,
TELANGANA,508373,,,,,,,,,,,,
TELANGANA,508374,,,,,,,,,,,,
TELANGANA,508376,,,,,,,,,,,,
TELANGANA,509102,,,,,,,,,,,,
TELANGANA,509104,12%,79%,7%,2%,,,,,,,,
TELANGANA,509105,,,,,,,,,,,,
TELANGANA,509110,15%,73%,10%,2%,,,,,,,,
TELANGANA,509120,,,,,,,,,,,,
TELANGANA,509125,,,,,14%,78%,7%,0%,,,,
TELANGANA,509126,13%,78%,8%,1%,,,,,,,,
TELANGANA,509129,,,,,,,,,,,,
TELANGANA,509130,,,,,,,,,,,,
TELANGANA,509131,,,,,14%,34%,52%,1%,,,,
TELANGANA,509132,,,,,,,,,,,,
TELANGANA,509135,,,,,,,,,,,,
TELANGANA,509136,,,,,,,,,,,,
TELANGANA,509152,,,,,,,,,,,,
TELANGANA,509153,,,,,,,,,,,,
TELANGANA,509201,,,,,,,,,,,,
TELANGANA,509203,27%,42%,29%,2%,,,,,,,,
TELANGANA,509204,,,,,,,,,,,,
TELANGANA,509205,,,,,,,,,,,,
TELANGANA,509206,5%,68%,24%,3%,,,,,,,,
TELANGANA,509207,,,,,,,,,,,,
TELANGANA,509208,,,,,16%,69%,14%,1%,,,,
TELANGANA,509210,,,,,2%,96%,2%,0%,,,,
TELANGANA,509215,,,,,,,,,,,,
TELANGANA,509216,10%,72%,17%,0%,,,,,,,,
TELANGANA,509217,,,,,30%,59%,7%,4%,,,,
TELANGANA,509219,,,,,,,,,,,,
TELANGANA,509235,,,,,,,,,,,,
TELANGANA,509309,,,,,,,,,,,,
TELANGANA,509311,,,,,29%,69%,1%,0%,,,,
TELANGANA,509320,,,,,,,,,,,,
TELANGANA,509321,,,,,,,,,,,,
TELANGANA,509324,,,,,,,,,,,,
TELANGANA,509325,,,,,,,,,,,,
TELANGANA,509326,,,,,,,,,,,,
TELANGANA,509327,,,,,,,,,,,,
TELANGANA,509334,,,,,,,,,,,,
TELANGANA,509335,,,,,,,,,,,,
TELANGANA,509336,,,,,,,,,,,,
TELANGANA,509337,,,,,10%,75%,10%,5%,,,,
TELANGANA,509338,,,,,,,,,,,,
TELANGANA,509339,,,,,,,,,,,,
TELANGANA,509340,,,,,,,,,,,,
TELANGANA,509350,,,,,,,,,,,,
TELANGANA,509351,,,,,,,,,,,,
TELANGANA,509352,21%,71%,4%,4%,,,,,,,,
TELANGANA,509353,,,,,,,,,,,,
TELANGANA,509357,,,,,,,,,,,,
TELANGANA,509358,,,,,,,,,,,,
TELANGANA,509360,,,,,,,,,,,,
TELANGANA,509371,,,,,,,,,,,,
TELANGANA,509375,,,,,,,,,,,,
TELANGANA,509376,,,,,,,,,,,,
TELANGANA,509380,,,,,,,,,,,,
TELANGANA,509385,,,,,,,,,,,,
TELANGANA,509401,,,,,,,,,,,,
TELANGANA,509406,5%,67%,26%,3%,,,,,,,,
